ingame,name,rating,id
JAKADS,자카드,22.572,jakads
MINI,미니,22.572,mini_7.9
#.ZEBI,제비,22.548,zebiowo
XD*LEVI.,레비안,22.484,leviern
LILY*,릴리,22.432,i__lily__i
F.DDX,디디엑스,22.306,ddx1780
#.RNA,알앤에이,22.289,xhrrl0923
#. DB,닥블,22.285,.d4rk_blue.
S-GIENY!,장징읭,22.273,j_jingwing
F. MERU,캬라메루,22.229,meruchan_ovo
F. X - X,용래,22.137,.yongrae
INF.,인프,22.031,inf794
AKAROB*,카로비,22.018,st_cjh
OTLYES,오티엘예스,22.004,otlyes
#.MGMT,망고민트,21.998,mangomint.
ZNARU,즈나루,21.954,chesnal.
F. REZI7,레지스트,21.937,resist7
MIYA*?,레야,21.932,leya_aubrey
N42KA,진성,21.931,nanika000309
#.JUNG W,정우,21.909,jung_w0__0
IWATOBI,뚀뫼,21.909,ddyomei
F.D KWAN,동관,21.908,d0ngkwan
#.O3O,연우,21.906,yw1713
MOMOI,씅멍,21.905,m1n4t0chan
#.SEIREN,하나린,21.905,chl1126
S.KOYUKI,실리버리,21.903,silivary
##TAKO##,소금문어,21.903,badyokai
VICHAN,스누피,21.609,snoopy_ybom
ST.MIUNA,미우나,21.6,miuna_s
SCORES,스코어,21.584,scores22
F.   RAZ,라즈,21.422,hikenigseu
LIRINSKY,리린스카이,21.415,lirinsky
https://p.eagate.573.jp/game/sdvx/vi/playdata/profile/index.html,청설,21.409,keurowasang9278
AOBA,AOBA,21.374,xodls3726
SPRTR.,서푸터,21.229,lazysupporter
HIBI,히비,21.228,hibisensei
MEGANE,메가네 (a.k.a. 갓경마을 이장님),21.226,secret_dejavu
HS 0.5?,헥사곤,21.215,jiminp
JOFUTURE,조미래,21.176,jofuture
EVIL.S.,이블서번트,21.136,evilservant
NONOKA,노노카,21.107,nonoka_
W4T.DI,머쟝,21.094,meojyang
INE,김펠,21.093,kimperl
A.JO.SI,트릴연타,21.078,a.jo.si
ND,엔디,21.061,Neardayo
-3-HIOR1,히오리,21.058,hior1_sdvx
INCU-.,인쿠,21.038,intaeyeo
TALVEN,탈벤,21.034,talvenzzing
#.FANTA,판타지,21.034,f4n_ta
HAYACCHI,하얏치,21.023,hayacchi_774
MEGU,메구,21.013,__megu
MIDORI,케미,21.007,chemi2
YUURARI,유라리,21.003,ii215uu6.33
SONINM,손님,21.001,soninm
EBEBEBY,에비,21.0,ebebeby
RS HZN,하자난,20.931,maritimenogada
DDYO,뚀,20.919,ddyo_o
MILSX,난녕,20.918,nannyeong
YEOKWOL,역월,20.916,yeokwol
NANA !-.,유상은,20.907,bibam00
# ENS!S,엔시스,20.903,flameensis
-EUPA-,유파,20.902,eupa
ANZUINFO,안즈인포,20.89,anz_1217
KONATA-.,김성태,20.887,notepad39
FOX TAIL,여우꼬리너무좋아,20.881,foxtail8293
LUNE,룬,20.879,vinus12018
#.TAT,탓,20.879,tasi3427
-3-RNTEN,리느,20.878,reeneu
NITORI-.,쿠미짱,20.844,39nakano
MIN4RI,미나리,20.838,water_root
#.SINUS,시너스,20.834,Sinus_9155
OC.KATO,카토,20.833,kato035035
#.ROSE,로제,20.833,rosepasta22
CRONICLE,크로니클,20.83,cronicle0_0
#.BAT,세타,20.825,tht_
START*-*,스타트,20.81,jeoseungseob
YUFI?!,유피,20.802,lukeop5435
OZ*NDGOM,농담곰,20.794,ndgom
*YESERIM,세림,20.776,serim_ing
S!2,시즈,20.772,siz.772
#. YUNI,거니,20.757,yuniyuni123
SLUNGEL,스룽겔,20.74,slungel
#.BAEK,백,20.715,sh_baek
PSJ,PSJ,20.708,psj_1031
HORSE.,말머리,20.691,horse9236
BAMBI !,시메,20.68,blan0ir
LUCIFER,루시퍼,20.639,lucifeross
H.STIGMA,단향,20.637,.dhwa
XS.BOMIN,보민,20.636,ming_zi.
OC.HYUN!,스카이,20.625,thisisskyflow
TOHIKO??,히코,20.61,1_23_45
*B*,별비,20.579,byeolb_
##YUTA##,에스펭귄,20.573,diverse_system
GEHO,게호,20.573,geho123
CHAEUM*,채움,20.567,chaeum_
PAPHY,파피,20.565,paphy__
-3-DERA*,데라,20.546,lemon_vodka
HINOTO,히노토,20.545,doublejung04
ZISTERED,지스터드,20.539,zistered
PA-DANG,허어억,20.537,hukhukhuk723
YACOFAN1,큭윽,20.528,minami3362
XERIAL,째리얼,20.505,xerial12
XS.EHONE,태원,20.48,ehone
RIKOBEEM,갓네오,20.469,kurae_rikochan
PENG,펭,20.463,pengdol2
SUSO,수소,20.454,__hvm_cnch
SKYLIFE*,스카이라이프,20.444,ghddnr6457
KAGAMINE,Lucyma (루시마),20.422,Lucyma_marigold
JC.COCOA,쉬폰,20.422,cfcake
JUN.H-,준,20.415,juneh0324
REKI,레키,20.382,reki6606
HUSBAN,허스반,20.372,husban.ping_9
DONEMY,도네미,20.365,g1mggingggang
FIRE CAT,불냥이,20.361,lazma
steelo,스틸로,20.361,steelo_laz
#VIICHAN,히온,20.351,hion_nyan
SILLY?,실리,20.328,design_022
DIKI,디키,20.308,as200005
#LEEHUA,리화,20.284,leehwa
MINE*ETN,미네르바,20.281,minerba_eternal
WALNUT!?,호두,20.277,walnut_wt
JC.GYUSO,규소,20.271,gyuso
QU4NTUM,퀀텀,20.265,quantuming_
NYAAS,냐스,20.258,nyaas.
TOHKA,토카,20.258,sdvx_tohka
MIYA-,미야,20.258,irna_mia0
LITER!,리터,20.257,m4ru9207
PLUN1,플런,20.251,plun1
MIN*,르하리그,20.228,daengdaeng5533
OHC,뚜,20.226,onehunnitconst
AAAAAAAA,김재민,20.222,reimu_hakurei._.
LAZYLIP,레이집,20.218,lazylip
LINUS,리너스,20.217,linus4231
#. SNRD,시너린드,20.215,synerind
FD*DONGD,동디,20.205,core0426_
CHIRU,치르,20.202,icef41ry
FORBIN,포루반,20.195,inrobf
MF.FF,포르티시모,20.182,pianoplayer7643
SSK,SSK,20.175,ssk_16
HYEEHYEE,히히냥이,20.103,hyrehyee22
L4MI,라미,20.082,julami_l2e
FD*LNM,루나미,20.031,lunami2726
AKI*,아키,20.026,aki02650
SIWONY.,시원,20.005,siwony_
KONA!,코나,20.0,gabang0609
ANSHIA.P,엔시아,19.999,pimit. #8770
TSUKASA,츠카사,19.998,tsukasaa_
SAMBOWOO,박무댕,19.981,parkmudaeng
GB-GT*DI,기타맨,19.933,question_point
MIN*,민,19.923,mingyuchoi_0626
